Shop Name,Link
কাজী টেকনোলজি,https://www.google.com/maps/place/%E0%A6%95%E0%A6%BE%E0%A6%9C%E0%A7%80+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c0d692206ed5:0xf53955f178dc46ef!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11gbzcmw5t!19sChIJ1W4gktbAVTcR70bcePFVOfU?authuser=0&hl=bn&rclk=1
এসএস কম্পিউটার | মিরপুর-10,https://www.google.com/maps/place/%E0%A6%8F%E0%A6%B8%E0%A6%8F%E0%A6%B8+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%7C+%E0%A6%AE%E0%A6%BF%E0%A6%B0%E0%A6%AA%E0%A7%81%E0%A6%B0-10/data=!4m7!3m6!1s0x3755c1fdeb5c3bbf:0x23a36af34a532d0!8m2!3d23.8065524!4d90.36971!16s%2Fg%2F11lbxwsbr2!19sChIJvztc6_3BVTcR0DKlNK82OgI?authuser=0&hl=bn&rclk=1
ল্যাপটপ ওয়ার্ল্ড বিডি,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%A1+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF/data=!4m7!3m6!1s0x3755c0d692c00001:0x8c8cbee90af0151c!8m2!3d23.8064168!4d90.3695264!16s%2Fg%2F11h_vvkhdk!19sChIJAQDAktbAVTcRHBXwCum-jIw?authuser=0&hl=bn&rclk=1
ওয়ার্ল্ড কম্পিউটার সিস্টেম,https://www.google.com/maps/place/%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%AE/data=!4m7!3m6!1s0x3755c0d986915a5b:0x68c09c2ac0572f78!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11c2lgpm14!19sChIJW1qRhtnAVTcReC9XwCqcwGg?authuser=0&hl=bn&rclk=1
ইউ টেক বিডী,https://www.google.com/maps/place/%E0%A6%87%E0%A6%89+%E0%A6%9F%E0%A7%87%E0%A6%95+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A7%80/data=!4m7!3m6!1s0x3755c0b7c93ec59b:0x1f9ebda108706a47!8m2!3d23.8057465!4d90.3685768!16s%2Fg%2F12lr_8z4f!19sChIJm8U-ybfAVTcRR2pwCKG9nh8?authuser=0&hl=bn&rclk=1
ল্যাপটপ স্টেশন,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3755c121814befad:0x5cd59c0601c8acdb!8m2!3d23.806049!4d90.3681469!16s%2Fg%2F11v05cl6ld!19sChIJre9LgSHBVTcR26zIAQac1Vw?authuser=0&hl=bn&rclk=1
গ্রিন টেকনোলজি,https://www.google.com/maps/place/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A8+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c19d7d8acd05:0x2dc0062b6175cefe!8m2!3d23.7991441!4d90.3528902!16s%2Fg%2F11gjx12f8n!19sChIJBc2KfZ3BVTcR_s51YSsGwC0?authuser=0&hl=bn&rclk=1
ইট বিডি শপ,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9F+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3755c1d4eefc6ac1:0x8bbea2b6bd8edee1!8m2!3d23.8061817!4d90.3681095!16s%2Fg%2F11qrt7877p!19sChIJwWr87tTBVTcR4d6Ovbaivos?authuser=0&hl=bn&rclk=1
ল্যাপটপ সোর্স,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%B8%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3755c17507408cb1:0x7a2c2e1cef798adc!8m2!3d23.8048078!4d90.3693214!16s%2Fg%2F11sh00sz89!19sChIJsYxAB3XBVTcR3Ip57xwuLHo?authuser=0&hl=bn&rclk=1
ল্যাপটপ টেরিটোরি,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%9F%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%9F%E0%A7%8B%E0%A6%B0%E0%A6%BF/data=!4m7!3m6!1s0x3755c1a619ea7619:0x2c1024a455ea0cc3!8m2!3d23.8064171!4d90.3695265!16s%2Fg%2F11t40hg8pz!19sChIJGXbqGabBVTcRwwzqVaQkECw?authuser=0&hl=bn&rclk=1
ল্যাপটপ মার্ট,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3755c13470d52d43:0x3fcc963c658839f1!8m2!3d23.8066576!4d90.3696627!16s%2Fg%2F11rwsb5k24!19sChIJQy3VcDTBVTcR8TmIZTyWzD8?authuser=0&hl=bn&rclk=1
21 টেকনোলজি,https://www.google.com/maps/place/21+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c7bc6bb0c7f5:0x818a61a6f3cf1ddd!8m2!3d23.8062797!4d90.3690347!16s%2Fg%2F11h39ymk0b!19sChIJ9cewa7zHVTcR3R3P86ZhioE?authuser=0&hl=bn&rclk=1
প্ল্যানেট ইট বিডি,https://www.google.com/maps/place/%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%9F+%E0%A6%87%E0%A6%9F+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF/data=!4m7!3m6!1s0x3755c133bae75af9:0x983c52a985ee35f0!8m2!3d23.8058214!4d90.3681436!16s%2Fg%2F11j4wjlcvt!19sChIJ-VrnujPBVTcR8DXuhalSPJg?authuser=0&hl=bn&rclk=1
গম টেক,https://www.google.com/maps/place/%E0%A6%97%E0%A6%AE+%E0%A6%9F%E0%A7%87%E0%A6%95/data=!4m7!3m6!1s0x3755c77952904999:0x6aa525ae586dcb87!8m2!3d23.8380143!4d90.3755704!16s%2Fg%2F11n6wtp562!19sChIJmUmQUnnHVTcRh8ttWK4lpWo?authuser=0&hl=bn&rclk=1
TECH BYTE,https://www.google.com/maps/place/TECH+BYTE/data=!4m7!3m6!1s0x3755c131ca54b48d:0xd770f4f26749e2e1!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11yj95y379!19sChIJjbRUyjHBVTcR4eJJZ_L0cNc?authuser=0&hl=bn&rclk=1
কম্পিউটার পয়েন্ট,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%AA%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3755c0e880f03f13:0x3e7a85782d8be049!8m2!3d23.7981785!4d90.3536896!16s%2Fg%2F11fzb07hbz!19sChIJEz_wgOjAVTcRSeCLLXiFej4?authuser=0&hl=bn&rclk=1
ল্যাপটপ লাউঞ্জ,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%B2%E0%A6%BE%E0%A6%89%E0%A6%9E%E0%A7%8D%E0%A6%9C/data=!4m7!3m6!1s0x3755c127c805023d:0xa81697ca2189d53f!8m2!3d23.8064347!4d90.3701497!16s%2Fg%2F11vyytrzh_!19sChIJPQIFyCfBVTcRP9WJIcqXFqg?authuser=0&hl=bn&rclk=1
কোয়ালিটি টেক,https://www.google.com/maps/place/%E0%A6%95%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%9F%E0%A6%BF+%E0%A6%9F%E0%A7%87%E0%A6%95/data=!4m7!3m6!1s0x3755c100156251d3:0xbec6ff355ed458da!8m2!3d23.8064908!4d90.3692565!16s%2Fg%2F11w4kyq24v!19sChIJ01FiFQDBVTcR2ljUXjX_xr4?authuser=0&hl=bn&rclk=1
ইট ভ্যালি,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9F+%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%BF/data=!4m7!3m6!1s0x3755c7b98a194e9b:0xef17bf5d373504a5!8m2!3d23.7898293!4d90.3757411!16s%2Fg%2F11pv4vvfyw!19sChIJm04ZirnHVTcRpQQ1N12_F-8?authuser=0&hl=bn&rclk=1
আর কম্পিউটার্স,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B0+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3755c0d692b2204f:0xb1dd0520e761f525!8m2!3d23.8066118!4d90.369202!16s%2Fg%2F11cjj55mwz!19sChIJTyCyktbAVTcRJfVh5yAF3bE?authuser=0&hl=bn&rclk=1
